time_m,average_excess_return,INDPRO,AWHMAN,AWHNONAG,AWOTMAN,DSPI,DSPIC96,PI,CE16OV,CLF16OV,PAYEMS,MANEMP,DMANEMP,NDMANEMP,USCONS,USFIRE,USGOOD,USGOVT,USMINE,USPRIV,USSERV,USTPU,USTRADE,USWTRADE,SRVPRD,UEMP5TO14,UEMP15OV,UEMP15T26,UEMP27OV,UEMPLT5,UEMPMEAN,UEMPMED,UNEMPLOY,UNRATE,PCE,PCEDG,PCEND,PCES,HOUST,HOUST1F,HOUST2F,CURRSL,DEMDEPSL,M1SL,OCDSL,SAVINGSL,STDCBSL,STDSL,STDTI,SVGCBSL,SVGTI,SVSTCBSL,TCDSL,CPIAUCSL,PFCGEF,PPICPE,PPICRM,PPIFCF,PPIFGS,PPIIFF,PPIITM
1956-02,-0.017228454755114014,0.0,,,,,,,,,0.0035315632430688026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1956-03,-0.01005271188482131,-0.006968669316093745,,,,,,,,,-0.000577764069186415,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1956-04,-0.009460042153849133,-0.00701757265864611,,,,,,,,,0.0006375137181748869,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1956-05,-0.01646732524692565,0.0,,,,,,,,,0.0033005955123748265,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1956-06,-0.019665947645411096,0.0,,,,,,,,,0.017297962624736485,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1956-07,-0.015698686990426633,-0.007067167223092419,,,,,,,,,0.0035250735186931337,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1956-08,-0.009115138842923273,-0.03610500464211608,,,,,,,,,-0.006064583781540733,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1956-09,-0.010443729268851542,0.03610500464211608,,,,,,,,,0.009635392365256124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1956-10,-0.013953088680874578,0.021053409197832273,,,,,,,,,-0.0012793674692233026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1956-11,0.010148248170509829,0.006920442844573493,,,,,,,,,0.005069081782691498,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1956-12,0.023062621421102103,0.013698844358161821,,,,,,,,,0.0013307235119945915,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1957-01,0.022503118589059533,0.0,,,,,,,,,0.0019639184547486366,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1957-02,0.03060465499026714,-0.0068259650703996755,,,,,,,,,0.002382325814537012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1957-03,0.029596363665416223,0.0,,,,,,,,,0.0007481081844744608,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1957-04,0.03843849866480496,0.0,,,,,,,,,-0.002745803816184278,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1957-05,0.04686537462987383,-0.006872879287762146,,,,,,,,,-0.00030769231011973375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1957-06,0.04496212686623062,-0.013889112160667239,,,,,,,,,0.01103673180234388,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1957-07,0.03822947278225488,0.0,,,,,,,,,0.0008746577983824722,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1957-08,0.007447213192437723,0.006968669316093745,,,,,,,,,0.003244753845411452,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1957-09,0.011213936450261655,0.0,,,,,,,,,3.7888116397155613e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1957-10,0.013259729099598293,0.0,,,,,,,,,-0.0020100509280247536,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1957-11,-0.006887199622057487,-0.013986241974739855,,,,,,,,,-0.0033273471837453883,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1957-12,-0.017781572214962058,-0.021353124470569362,,,,,,,,,-0.006074749329826545,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1958-01,-0.021131586886143108,-0.021819047394639135,,,,,,,,,-0.005649298295734795,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1958-02,-0.024683252859174925,-0.02230575751429864,,,,,,,,,-0.0030879113603372588,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1958-03,-0.02785137799364682,-0.02281467776617152,,,,,,,,,-0.01135249250825332,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1958-04,-0.036354532260981676,-0.015504186535965303,,,,,,,,,-0.008225167343479,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1958-05,-0.04170096372445363,-0.01574835696813892,,,,,,,,,-0.003020404819144673,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1958-06,-0.03714339729683176,0.007905179507113225,,,,,,,,,0.0023894402111004354,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1958-07,-0.03254099927035377,0.023347363996991,,,,,,,,,-0.008139545279886917,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1958-08,-0.017952807511069955,0.02281467776617152,,,,,,,,,0.0027602110517719325,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1958-09,-0.022510860203731033,0.029631797606371357,,,,,,,,,0.0020008525153354384,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1958-10,-0.015632462407861803,0.0,,,,,,,,,0.0024115449520607513,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
