time_m,excess_return_2,excess_return_3,excess_return_4,excess_return_5,average_excess_return,risk_free_rate,forward_1_2,forward_2_3,forward_3_4,forward_4_5
1984-07,0.04748340202785148,0.07713263021293948,0.09623550549731028,0.11072880204474347,0.08289508494571118,0.11556071074775429,0.12900346290655187,0.12483542663178304,0.12633014274965004,0.13106970651401573
1984-08,0.04541471244169491,0.07324117734822193,0.10214539736713142,0.11662763926138449,0.08435723160460819,0.11716578436083584,0.12552622324597656,0.12478945521791135,0.1285339413813935,0.12747023376128613
1984-09,0.04393940925752603,0.07277266345185597,0.09866620023554053,0.11145476977633074,0.08170826068031331,0.11107956254906974,0.12416534844001008,0.12272470326162507,0.12707364337010257,0.12370682077672679
1984-10,0.037529581097909145,0.06079287171049387,0.08076811140042582,0.09029161073940027,0.06734554373705728,0.10120172834309112,0.11523391294398759,0.11605365508059201,0.11644312618400787,0.11491790063079671
1984-11,0.03285143766192093,0.05728453529924367,0.08727833590510285,0.09776789014002867,0.06879554975157404,0.09452071970864225,0.10952851976888632,0.11388862139432421,0.12168190026993086,0.112631569411282
1984-12,0.03076018845222174,0.06436909383948525,0.09107987735550094,0.12098448685420693,0.07679841162535371,0.0901792158213156,0.10554735715495811,0.11585868128446952,0.11445795395237984,0.12230293316820667
1985-01,0.029400598276070847,0.058285067481847,0.08714012075530181,0.10231610115310358,0.06928547191658081,0.08837525460233714,0.10496137505433867,0.10945444139514965,0.11941433148240121,0.10721781045611767
1985-02,0.03743218769477655,0.07591941659216209,0.12209665227829089,0.15323455115692972,0.09717070193053981,0.0967629509804385,0.11100335891862756,0.11602072213669093,0.12698413141034237,0.11477681570511589
1985-03,0.040536844256642196,0.08723286675971192,0.13700070537410153,0.16888941123787085,0.10841495690708161,0.09586829994606164,0.10844735581512521,0.11551621099707579,0.12575876405938669,0.11056046942411918
1985-04,0.0411132457188111,0.0830003152438701,0.1253786002948578,0.15867050241856906,0.10204066591902702,0.08922405349746222,0.10608221334082722,0.1109532865744991,0.122236335259162,0.11031466853121463
1985-05,0.02597546019570425,0.04985770661258332,0.07901267530873363,0.08431593345624985,0.05979044389331776,0.08026887438468908,0.09413757743194592,0.10225983828679946,0.11215200948397364,0.09774209799597555
1985-06,0.030735917048581612,0.06516901122053352,0.09544532021039841,0.11091873064237885,0.0755672447804731,0.07721360282469196,0.09492085698448456,0.10590176256773037,0.1083680102850052,0.09962747757147117
1985-07,0.03322009210139759,0.07325053446109656,0.10744349182536597,0.12769719888941222,0.08540282931931809,0.0815200608787004,0.09518619844669504,0.10722726746527925,0.11657640996658253,0.0957183426266296
1985-08,0.04198300567897639,0.07744351145339368,0.11929701699828082,0.1436133981357627,0.09558423306660341,0.08011151080428167,0.09696299031138433,0.09962972136248402,0.11298799186703307,0.09634914620149149
1985-09,0.035659035730667116,0.06843231381528389,0.10432808308621169,0.12404616083497744,0.08311639836678503,0.08022593918248405,0.09389144906729513,0.10118010658641802,0.11091825123593657,0.10286669853941272
1985-10,0.036439393207651105,0.0660227760154834,0.09885405465682404,0.12611677610300315,0.08185824999574043,0.07770433184607844,0.09279036446800729,0.09646788649407592,0.10539440129182226,0.10294697849618745
1985-11,0.031824092468270754,0.0583840161144195,0.09215635201854432,0.11736759526160327,0.07493301396570946,0.0766770821069654,0.08945552375700146,0.09168809966407168,0.10214201517635618,0.09962123052558619
1985-12,0.02164505768722927,0.04407401773294388,0.06742943441807404,0.0909308865131634,0.05601984908785265,0.07478716870273637,0.08224977589720602,0.08774717043636415,0.09239832366950068,0.09422463300533845
1986-01,0.02168302158980745,0.046836469991094726,0.06937694996959311,0.09013264907951275,0.05700727265750201,0.07556077677826782,0.08056997218937349,0.09055927820894641,0.0920418300583159,0.09368443715769437
1986-02,0.01744321335260622,0.032456557526709104,0.048102162699074455,0.06195342447984058,0.03998883951455759,0.073571171223851,0.0775334932393054,0.08080689572421357,0.08363891682647706,0.08616881442334406
